Begin,dissapear,Content,speaker
"00:06:33,317","00:06:37,817","People say, ""Abbie, are you concerned about an overreaction from the cops?""",ABBIE
"00:06:37,900","00:06:41,025",I issued a police order to shoot to kill any arsonists.,DALEY
"00:06:41,109","00:06:42,567",We're not concerned about it.,ABBIE
"00:06:42,650","00:06:45,942","Four units of the Illinois National Guard, totaling 5,000 troops,",REPORTER #5
"00:06:42,650","00:06:45,942","Four units of the Illinois National Guard, totaling 5,000 troops,",KUNSTLER
"00:06:47,525","00:06:48,692",We're countin' on it!,ABBIE
"00:06:48,775","00:06:52,192","We wanna underscore again that we're coming to Chicago peacefully,",TOM
"00:06:55,067","00:06:58,609","An additional 10,000 Chicago police officers, including riot squads...",REPORTER #6
"00:07:01,525","00:07:04,609",but we are going to storm the hearts and minds of the American people.,DAVE
"00:07:07,025","00:07:10,359",bent on the destruction of the government of the United States of America.,GOVERNMENT OFFICIAL
"00:07:10,442","00:07:15,650",The Democratic Convention is about to begin in a police state.,WALTER CRONKITE
"00:07:40,400","00:07:42,900",You've arrived at a moment in history.,SECRETARY
"00:07:44,400","00:07:47,192",- Pardon? - They're changing the picture.,SECRETARY
"00:07:53,692","00:07:55,317",- Tom. - Howard.,FORAN
"00:07:55,400","00:07:56,859",- Flew in all right? - Sure.,HOWARD
"00:07:59,025","00:08:01,525","Howard Ackerman, Special Advisor to the Attorney General.",HOWARD
"00:08:01,609","00:08:03,960",- Pleased to meet you. - Anyone tell you what this is about?,HOWARD
"00:08:03,984","00:08:07,692","No, sir. Just to meet Mr. Foran at O'Hare this morning, we'd fly to Washington.",SCHULTZ
"00:08:10,650","00:08:14,109",Finally changing that goddamn picture. Come on in.,HOWARD
"00:08:19,525","00:08:21,484","As a matter of courtesy and tradition,",MITCHELL
"00:08:21,567","00:08:25,109","when we elect a new president, the outgoing cabinet members resign",MITCHELL
"00:08:25,192","00:08:28,275",to spare the new president the unpleasantness of firing 'em.,MITCHELL
"00:08:31,109","00:08:33,984",received Ramsey Clark's formal letter of resignation?,MITCHELL
"00:08:38,859","00:08:42,234","I don't know, I think it was more embarrassing for Ramsey Clark.",MITCHELL
"00:08:43,317","00:08:45,942","Thomas Foran, Mr. Attorney General, and this is Richard Schultz.",FORAN
"00:08:46,025","00:08:49,692","Richard, Chicago is more fucked up than any ten things I've ever seen in my life.",MITCHELL
"00:08:49,775","00:08:51,650","- Sir? - The convention, the riots.",HOWARD
"00:09:08,734","00:09:10,400","- No, sir. - Why the fuck not?",JERRY
"00:09:31,400","00:09:34,900","As a matter of fact, we don't believe any federal laws were broken last summer.",SCHULTZ
"00:09:37,984","00:09:41,442","There was trespassing, destruction of public property, lewd behavior.",SCHULTZ
"00:09:41,525","00:09:43,484",Nothing that would rise to the level--,SCHULTZ
"00:09:46,275","00:09:50,442",because I want you to seek an indictment for violating a federal trespassing law?,MITCHELL
"00:09:51,317","00:09:53,692",Our office wasn't aware that the Justice Department,SCHULTZ
"00:09:55,484","00:09:57,400",- We do. - Ramsey Clark was dead set against--,SCHULTZ
"00:09:57,484","00:09:59,775","Ramsey Clark doesn't run the Justice Department anymore,",MITCHELL
"00:10:03,650","00:10:06,109","One hour before my confirmation hearing gaveled,",MITCHELL
"00:10:09,359","00:10:10,484",That's unprofessional.,SCHULTZ
"00:10:10,567","00:10:13,650",Unprofessional? It was unpatriotic. I'll tell you what else.,MITCHELL
"00:10:13,734","00:10:17,234",It was impolite. There's such a thing as manners.,MITCHELL
"00:10:22,859","00:10:26,025",'Cause I asked Mr. Foran who was the best prosecutor in his office.,MITCHELL
"00:10:27,942","00:10:30,859",Section 2101 of Title 18.,HOWARD
"00:10:30,942","00:10:32,900",That's the federal law that was broken.,MITCHELL
"00:10:32,984","00:10:34,609",That's the Rap Brown Law.,SCHULTZ
"00:10:38,400","00:10:41,442",Comes with a maximum of ten years. We want all ten.,HOWARD
"00:10:41,525","00:10:43,650","- For whom, sir? - The all-star team.",HOWARD
"00:10:50,400","00:10:54,150","Lee Weiner, John Froines... and Bobby Seale?""",SCHULTZ
"00:10:54,234","00:10:58,234","I call 'em the school boys, and when I do, everyone here knows who I'm talking about.",MITCHELL
"00:11:00,234","00:11:03,817","And we watched for a decade while these rebels without a job,",MITCHELL
"00:11:12,067","00:11:16,734",and I deem these shitty little fairies to be a threat to national security.,MITCHELL
"00:11:16,817","00:11:20,359",So they're gonna spend their thirties in a federal facility.,MITCHELL
"00:11:23,317","00:11:25,650",You understand why I couldn't tell you until we got here?,FORAN
"00:11:25,734","00:11:26,817","Sure. Of course, sir.",SCHULTZ
"00:11:26,900","00:11:31,067","Richard, you're being handed the ball. Are you ready for this?",HOWARD
"00:11:33,567","00:11:34,900",You pay me for my opinion.,SCHULTZ
"00:11:35,484","00:11:37,900","- What? - I said, sir, you pay me for my opinion.",SCHULTZ
"00:11:37,984","00:11:40,567",Where'd you learn that? In class? I pay you to win.,MITCHELL
"00:11:40,650","00:11:43,150",I'm not sure we can get a good indictment on conspiracy.,SCHULTZ
"00:11:43,234","00:11:45,942",- Why not? - Some of them have never met each other.,SCHULTZ
"00:11:46,025","00:11:47,275",Telephones.,MITCHELL
"00:13:12,859","00:13:15,359",You didn't show a lot of gratitude in there.,FORAN
"00:13:16,400","00:13:20,734","On top of everything, we're giving them what they want: a stage and an audience.",SCHULTZ
"00:13:21,359","00:13:23,484",You think there's gonna be a big audience?,FORAN
"00:13:27,192","00:13:28,442","Yes, sir, I do.",SCHULTZ
"00:13:37,525","00:13:39,525",Power to the people!,TOM
"00:13:53,150","00:13:54,275","Abbie, over here.",RENNIE
"00:13:54,359","00:13:57,692","- I was, until I saw that. - Most of them are on our side.",ABBIE
"00:13:57,775","00:13:59,859","- We love you, Abbie! - See?",CROWD MEMBER
"00:14:01,984","00:14:04,734",Jesus Christ! How did you do that?,ABBIE
"00:14:01,067","00:14:01,900",Watch out!,JUDGE HOFFMAN
"00:14:05,609","00:14:06,609",Experience.,JERRY
"00:14:11,275","00:14:13,150",You don't know what to do with the egg now?,ABBIE
"00:14:22,484","00:14:25,942",I want you all to meet a new addition to the defense team.,KUNSTLER
"00:14:26,025","00:14:28,150","This is Leonard Weinglass,",KUNSTLER
"00:14:28,234","00:14:31,442",one of this country's most talented First Amendment litigators.,KUNSTLER
"00:14:31,525","00:14:33,984","- Bill, can you tell us-- - Go ahead, Sy.",REPORTER
"00:14:34,067","00:14:35,525",What's the status of Charles Garry?,SY
"00:14:38,442","00:14:41,359",You should contact his office for information.,KUNSTLER
"00:14:43,025","00:14:44,775",You're representing Bobby Seale today?,MARJORIE
"00:14:44,859","00:14:48,817","Oh, no, it's very important that it be understood that, uh,",KUNSTLER
"00:14:51,609","00:14:54,525",I will not be acting as Bobby Seale's attorney today.,KUNSTLER
"00:14:55,525","00:14:59,275","I was told that Hayden was the one who wanted to bring Mr. Weinglass in,",JACK
"00:15:04,692","00:15:07,817","You wanna find out how serious he is, meet him at a witness stand.",WEINGLASS
"00:15:42,275","00:15:45,442","I understand why they're tryin' to smoke Abbie, Jerry and Hayden,",FROINES
"00:15:46,942","00:15:49,817",but I can't figure out what the two of us are doin' here.,FROINES
"00:15:49,900","00:15:53,692","I feel exactly the same way, but this is the Academy Awards of protests,",WEINER
"00:16:02,567","00:16:05,567",Americans who've been killed since the day we were arrested.,RENNIE
"00:16:07,275","00:16:10,942","With the trial starting, it might get easy to forget who this is about.",RENNIE
"00:16:30,109","00:16:34,609","Whatever's going on between you and Abbie, could you keep it out of this building?",KUNSTLER
"00:16:34,692","00:16:37,692",I got a feeling this is gearing up to be...,TOM
"00:17:03,900","00:17:05,817",Did you have breakfast this morning?,KUNSTLER
"00:17:08,192","00:17:10,234",- What? - Did you have breakfast?,KUNSTLER
"00:17:16,567","00:17:19,109",because that's all I'm allowed to talk to him about.,KUNSTLER
"00:17:19,192","00:17:20,192",That's right.,FRED
"00:17:19,192","00:17:20,192",That's right.,BOBBY
"00:17:19,192","00:17:20,192",That's right.,JUDGE HOFFMAN
"00:17:21,900","00:17:23,942",- Bobby-- - We have instructions from our lawyer.,FRED
"00:17:26,775","00:17:29,692","You just look at me and you say, ""I need you.""",KUNSTLER
"00:17:30,650","00:17:33,317","- We don't need you, Bill. - You two gonna be like this?",BOBBY
"00:17:34,775","00:17:38,192",Your friends shouldn't sit together. The jury's not gonna like that.,KUNSTLER
"00:17:38,275","00:17:40,067",This isn't my jury. If they don't like it--,BOBBY
"00:17:40,150","00:17:41,192","No, he's right.",BOBBY
"00:17:44,734","00:17:47,900","Spread out, okay? In pairs.",FRED
"00:17:48,442","00:17:49,525",And Fred?,KUNSTLER
"00:17:48,442","00:17:49,525",And Fred?,KUNSTLER
"00:17:50,900","00:17:53,275","- No, they're dressed just fine. - It's all right.",BOBBY
"00:17:54,025","00:17:56,609",And take your very scary hats off.,FRED
"00:18:01,650","00:18:02,650",Don't mess this up.,FRED
"00:18:04,567","00:18:06,817",All right. Good pep talk.,KUNSTLER
"00:18:14,984","00:18:16,275",You see the crowd out there?,ABBIE
"00:18:17,234","00:18:18,442",I have an egg.,SCOTT
"00:18:18,525","00:18:20,859",- Get rid of that. - You don't think I want to?,JERRY
"00:18:20,942","00:18:23,692",It's like we're... What's his name? We just met him.,ABBIE
"00:18:23,775","00:18:25,734",- Yeah. - What is his name?,ABBIE
"00:18:25,817","00:18:28,317",- Who? - The drummer. The greatest drummer ever.,ABBIE
"00:18:28,400","00:18:29,234",Gene Krupa?,JERRY
"00:18:29,317","00:18:32,109",No. Gene Krupa? I'm talkin' about the drummer from Cream.,ABBIE
"00:18:33,692","00:18:35,609",- Ginger Baker. - Thank you.,JERRY
"00:18:36,400","00:18:39,650","Crowd outside is so big, it's as if we're Ginger Baker, I was trying to say.",ABBIE
"00:18:48,942","00:18:50,400",You remember what I said.,KUNSTLER
