Begin,dissapear,Content,speaker
"00:32:04,150","00:32:06,984",Or you give me 100 grand and I could call the whole thing off.,ABBIE
"00:32:04,150","00:32:06,984",Or you give me 100 grand and I could call the whole thing off.,REPORTER #8
"00:32:09,609","00:32:11,109",Mr. Fineglass.,JUDGE HOFFMAN
"00:32:09,609","00:32:11,109",Mr. Fineglass.,CLARK
"00:32:14,400","00:32:18,484","Mr. Stahl, the meeting you just described with Mr. Hoffman and Mr. Rubin,",WEINGLASS
"00:32:22,859","00:32:26,525","On August 2nd, you had a meeting with Tom Hayden and Rennie Davis.",WEINGLASS
"00:32:26,609","00:32:29,109",- Tom Hayden. - Rennie Davis.,SCHULTZ
"00:32:29,192","00:32:31,942","On August 12th, you had a meeting with David Dellinger.",WEINGLASS
"00:32:32,484","00:32:34,400",I'll tell you the same thing I told the others.,STAHL
"00:32:34,484","00:32:37,025",There were two more meetings with Tom and Rennie,WEINGLASS
"00:32:37,109","00:32:39,317","on the 10th and 12th of August,",WEINGLASS
"00:32:39,400","00:32:43,025",and one more meeting with David Dellinger on the 26th.,WEINGLASS
"00:32:43,109","00:32:44,275",I can't be sure of the dates.,STAHL
"00:32:44,359","00:32:47,609","Well, I can be sure. They're recorded in the log at City Hall.",WEINGLASS
"00:32:52,900","00:32:55,692",to demonstrate in Grant Park during the convention.,WEINGLASS
"00:32:59,025","00:33:02,025",We're not interested in violence or disturbing the delegates.,DAVE
"00:33:02,109","00:33:05,942","And in each of the meetings, the request for permits was denied.",WEINGLASS
"00:33:06,025","00:33:08,900","Listen, I'll tell you the same thing I told Mr. Hoffman",STAHL
"00:33:13,150","00:33:16,025",We have to demonstrate there. That's where the convention is.,TOM
"00:33:16,109","00:33:18,734",There will be no demonstrations within sight of the Hilton.,STAHL
"00:33:16,109","00:33:18,734",There will be no demonstrations within sight of the Hilton.,STAHL
"00:33:18,817","00:33:21,067","Okay. But the thing is, there will be.",TOM
"00:33:21,984","00:33:24,275","- Are you threatening me, Mr. Hayden? - No.",STAHL
"00:33:26,900","00:33:28,734",Thousands of people are coming to Chicago.,TOM
"00:33:35,109","00:33:38,150",and foolishly dangerous of the city not to have a contingency plan.,TOM
"00:33:38,234","00:33:40,650","We're gonna need police security, first aid...",TOM
"00:33:42,525","00:33:47,109","So, five times, you were asked for a permit.",WEINGLASS
"00:33:47,192","00:33:50,109","Five times, you were advised of the dangers",WEINGLASS
"00:33:52,734","00:33:55,025",I don't take my instructions from the defendants.,STAHL
"00:33:55,109","00:33:56,469","- No, you don't. - I don't.",WEINGLASS
"00:33:56,525","00:33:58,067",You take them from Mayor Daley.,WEINGLASS
"00:33:59,484","00:34:02,109",You're appointed by the mayor and you serve at his pleasure?,WEINGLASS
"00:34:03,109","00:34:06,234",And you're subject to removal in the same manner by the mayor?,WEINGLASS
"00:34:08,900","00:34:11,775","Further cross-examination, Mr. Kunstler.",JUDGE HOFFMAN
"00:34:11,859","00:34:14,400","Yes, sir. Mr. Stahl. When Abbie--",KUNSTLER
"00:34:15,734","00:34:20,359","Mr. Seale, would you identify the man sitting behind you?",JUDGE HOFFMAN
"00:34:24,192","00:34:25,859",He's not on trial here.,BOBBY
"00:34:25,942","00:34:31,109","Mr. Seale, identify the man behind you.",JUDGE HOFFMAN
"00:34:35,192","00:34:36,275",His name is Fred Hampton.,BOBBY
"00:34:37,942","00:34:42,025",that Mr. Hampton is head of the Chicago chapter of the Black Panther Party.,JUDGE HOFFMAN
"00:34:42,109","00:34:46,275","Your Honor, Mr. Hampton isn't at the bar. Why is the record identifying him at all?",KUNSTLER
"00:34:46,359","00:34:49,609",Mr. Hampton is clearly giving Mr. Seale legal advice.,JUDGE HOFFMAN
"00:34:53,650","00:34:56,609",Mr. Hampton is giving Mr. Seale the score of the White Sox game.,KUNSTLER
"00:34:56,692","00:34:58,984",- I will assume that he is not. - Why?,JUDGE HOFFMAN
"00:34:59,067","00:35:02,942",Because that's what happens when you don't have a lawyer.,JUDGE HOFFMAN
"00:35:06,484","00:35:09,484",by the Black Panther sitting behind you.,JUDGE HOFFMAN
"00:35:14,400","00:35:19,317","Mr. Stahl, when Abbie offered to call the whole thing off for $100,000,",KUNSTLER
"00:35:19,400","00:35:23,692",did you think that he was serious or did you think he was making a joke?,KUNSTLER
"00:35:23,775","00:35:26,609",I had no reason not to think he was serious.,KUNSTLER
"00:37:21,650","00:37:22,817","Sit, Mr. Seale.",JUDGE HOFFMAN
"00:37:40,109","00:37:42,525",Why won't Bobby Seale let anyone represent him?,REPORTER #7
"00:37:42,609","00:37:44,984",You've posed that question in the form of a lie.,JERRY
"00:38:05,775","00:38:07,734",Conspiracy Office. Can you hold on?,BERNADINE
"00:38:05,775","00:38:07,734",Conspiracy Office. Can you hold on?,BERNADINE
"00:38:07,817","00:38:11,317","Maybe you don't want to call it the, uh, Conspiracy Office.",KUNSTLER
"00:38:11,400","00:38:13,400",They understand irony and appreciate the humor.,BERNADINE
"00:38:13,484","00:38:16,067","- I wouldn't count on it. - Most people are smart, Bill.",BERNADINE
"00:38:16,150","00:38:19,567","If you believe that, you'll get your heart broken every day of your life.",KUNSTLER
"00:38:19,650","00:38:23,067","Hang on. Hi, how can I help you?",BERNADINE
"00:38:23,150","00:38:23,984",Messages?,KUNSTLER
"00:38:23,150","00:38:23,984",Messages?,KUNSTLER
"00:38:24,067","00:38:27,317",We sure do take contributions. We've got high-priced lawyers.,BERNADINE
"00:38:27,400","00:38:29,109",High-priced lawyers are working for free.,KUNSTLER
"00:38:32,525","00:38:34,692",- Abbie says we'll take the weed. - Messages?,BERNADINE
"00:38:34,775","00:38:37,067",Let me give you our mailing address.,BERNADINE
"00:38:45,359","00:38:48,150",I don't want you guys holding any more press conferences.,KUNSTLER
"00:38:48,234","00:38:51,942","If you're gonna get between Abbie and a camera, I'd wear pads and a helmet.",TOM
"00:38:52,025","00:38:54,525","We had a good day, Len. Tell him we had a good day.",KUNSTLER
"00:38:55,525","00:38:56,734",What does that mean?,TOM
"00:38:56,817","00:39:00,067",- Jurors six and eleven. They're with us. - How do you know?,WEINGLASS
"00:39:00,150","00:39:03,817","Six made sure I saw a copy of a James Baldwin novel under her arm,",WEINGLASS
"00:39:06,442","00:39:07,692",Falling asleep?,TOM
"00:39:07,775","00:39:09,567",Nodding. Agreeing.,WEINGLASS
"00:39:16,150","00:39:19,525",Bobby Seale's lawyer is Charles Garry. He's in the hospital right now.,JERRY
"00:39:27,984","00:39:29,525",As for calling it off...,ABBIE
"00:39:29,609","00:39:31,890",How much is it worth to you? What's your price?,REPORTER #9
"00:39:31,942","00:39:33,359",To call off the revolution?,ABBIE
"00:39:35,317","00:39:36,650",What's your price?,REPORTER #9
"00:39:38,567","00:39:39,567",My life.,ABBIE
"00:40:15,234","00:40:16,942",Any idea what's going on?,FROINES
"00:40:18,442","00:40:21,317",It's been years since I've had any idea what was going on.,WEINER
"00:40:32,900","00:40:35,567",and see counsel in my chambers in 15 minutes.,JUDGE HOFFMAN
"00:40:42,400","00:40:44,692","Gentlemen, it's been brought to my attention",JUDGE HOFFMAN
"00:40:46,900","00:40:49,859",from a member or members of the Black Panther Party.,JUDGE HOFFMAN
"00:40:49,942","00:40:50,942",Which two jurors?,KUNSTLER
"00:40:54,692","00:40:57,734",These were slipped into the mail at the homes of their parents.,JUDGE HOFFMAN
"00:41:05,275","00:41:07,317","- Yes. - Judge, I wonder if we could draw--",KUNSTLER
"00:41:07,400","00:41:08,900","Juror number six, how are you?",JUDGE HOFFMAN
"00:41:09,692","00:41:10,692",I'm fine.,ABBIE
"00:41:09,692","00:41:10,692",I'm fine.,JUROR #6
"00:41:12,442","00:41:15,192",Your parents received this note this morning in their mail.,JUDGE HOFFMAN
"00:41:15,275","00:41:17,692","They called the police, as they should have done.",JUDGE HOFFMAN
"00:41:17,775","00:41:20,275",I'd like you to take the note and read it out loud.,JUDGE HOFFMAN
"00:41:20,984","00:41:21,817",My parents?,JUROR #6
"00:41:27,234","00:41:28,400","""We're watching you.""",JUROR #6
"00:41:29,150","00:41:31,025",And you see who signed it?,JUDGE HOFFMAN
"00:41:32,192","00:41:34,275","""The Panthers.""",JUROR #6
"00:41:34,359","00:41:37,109","You understand that to mean the Black Panthers, don't you?",JUDGE HOFFMAN
"00:41:38,067","00:41:41,234",You understand defendant Bobby Seale is the head of the Black Panthers.,JUDGE HOFFMAN
"00:42:02,984","00:42:06,817",by members of an organization that is led by one of the defendants.,JUDGE HOFFMAN
"00:42:07,400","00:42:09,734","Judge, for the love of Christ, she...",KUNSTLER
"00:42:15,650","00:42:19,067",Do you still feel you can render a fair and impartial verdict?,JUDGE HOFFMAN
"00:42:15,650","00:42:19,067",Do you still feel you can render a fair and impartial verdict?,JUDGE HOFFMAN
"00:42:24,234","00:42:27,192",You're dismissed from this jury. Thank you for your service.,JUDGE HOFFMAN
"00:42:29,817","00:42:32,192",- I'm sorry. - Keep reading James Baldwin.,WEINGLASS
"00:42:40,067","00:42:42,984","Bill, I thought the Panthers were smarter than that.",FORAN
"00:42:44,317","00:42:47,192",The Panthers don't write letters any more than the Mob does.,KUNSTLER
"00:42:50,025","00:42:53,609",you'll see the criminal justice system up closer than you ever wanted to.,KUNSTLER
"00:43:07,109","00:43:09,942",- Who are the alternates? - We're gonna make this public.,JERRY
"00:43:11,609","00:43:14,442",Somebody other than the FBI has to investigate that letter.,JERRY
"00:43:14,525","00:43:16,650",Who'd you have in mind? Jefferson Airplane?,KUNSTLER
"00:43:22,359","00:43:25,150",Kay Richards. 42-year-old dental hygienist.,WEINGLASS
"00:43:25,234","00:43:26,442",That doesn't sound bad.,TOM
"00:43:26,525","00:43:30,567","We think she's dating a guy named Tom Banachek, who works for Daley.",KUNSTLER
"00:43:33,192","00:43:35,942",- We were out of peremptory challenges. - How did this happen?,KUNSTLER
"00:43:38,984","00:43:41,650",who kicked his son out of the house for protesting the Vietnam.,KUNSTLER
"00:43:43,692","00:43:47,650",Did they manipulate the jury pool? How come there's nobody who looks like me?,JERRY
"00:43:47,734","00:43:52,067","All right, raise your hands if any of you have ever shown up for jury duty.",KUNSTLER
"00:43:52,650","00:43:54,859",No? Then shut the fuck up.,KUNSTLER
"00:43:52,650","00:43:54,859",No? Then shut the fuck up.,JERRY
"00:43:58,650","00:43:59,900",He's sequestering the jury.,WEINGLASS
"00:44:00,525","00:44:01,692",Of course he is.,JERRY
"00:44:04,775","00:44:07,192",No such thing as a political trial.,ABBIE
"00:44:04,775","00:44:07,192",No such thing as a political trial.,ABBIE
"00:44:07,275","00:44:08,275",Good to know.,TOM
"00:44:11,775","00:44:16,817",I want an expert in geriatric psychiatry sitting in the gallery for a few days.,KUNSTLER
"00:44:28,150","00:44:32,275",The sequester's probably a reaction to Abbie doing stand-up on weekends.,WEINGLASS
"00:44:32,359","00:44:33,567",It's not stand-up.,ABBIE
"00:44:33,650","00:44:36,775",You're in a college auditorium in a spotlight telling jokes.,WEINGLASS
"00:44:36,859","00:44:38,484",That's a little reductive.,ABBIE
"00:44:39,692","00:44:40,817",Names?,FROINES
"00:44:40,900","00:44:43,067",Yeah. From yesterday.,RENNIE
"00:44:47,900","00:44:48,942",You hungry?,TOM
"00:44:51,109","00:44:53,275","If I hadn't asked you to help me with Sara Beth,",RENNIE
"00:44:55,067","00:44:58,109",I asked you to help with Sara Beth. That got us the first riot.,RENNIE
"00:45:21,900","00:45:22,984",I'll add the names.,BERNADINE
"00:45:25,317","00:45:28,692","We move to strike the order for sequestration of the jury,",KUNSTLER
"00:45:31,109","00:45:32,275",Hold on.,RENNIE
"00:45:31,109","00:45:32,275",Hold on.,JUDGE HOFFMAN
"00:45:34,109","00:45:36,275","Mr. Rubin, Mr. Hoffman.",JUDGE HOFFMAN
"00:45:36,859","00:45:38,734",What are you wearing?,JUDGE HOFFMAN
"00:45:39,317","00:45:41,859","It's an homage to you, Your Honor.",ABBIE
"00:45:41,942","00:45:43,567",Do you have clothes underneath there?,JUDGE HOFFMAN
"00:45:47,525","00:45:49,734","- Yes. - Take off the robes, please.",JUDGE HOFFMAN
"00:46:01,025","00:46:02,775","Mr. Kunstler, continue.",JUDGE HOFFMAN
"00:46:05,817","00:46:09,234","for what appears will be a considerable period of time, can only--",KUNSTLER
"00:46:09,317","00:46:13,442",It would be a considerably shorter period if the defense made fewer objections.,JUDGE HOFFMAN
"00:46:14,025","00:46:16,275",...can only serve to the defendants' disadvantage.,KUNSTLER
"00:46:16,359","00:46:20,317",The defense will make not one fewer objection than the prosecution,KUNSTLER
"00:46:20,400","00:46:22,734",or this court gives us reason to.,KUNSTLER
"00:46:22,817","00:46:28,025","Bailiff, charge Mr. Kunstler with one count of contempt.",JUDGE HOFFMAN
"00:46:29,609","00:46:32,067",May I continue my argument so it appears in the record?,KUNSTLER
"00:46:32,150","00:46:33,359",You may continue.,JUDGE HOFFMAN
"00:46:33,442","00:46:37,067",The jury will be in the custody of the deputy marshals.,KUNSTLER
"00:46:37,150","00:46:40,442",The marshals will take care of all the needs and wants of the jury.,KUNSTLER
"00:46:40,525","00:46:44,067",We feel that that tends to make the jurors sympathetic.,KUNSTLER
"00:46:44,150","00:46:47,109",The jury are gonna be taken care of...,KUNSTLER
"00:47:00,984","00:47:03,275",- Paul Deluca. - And what is your occupation?,SCHULTZ
"00:47:03,359","00:47:06,317","I'm a detective with the police department, City of Chicago.",DELUCA
"00:47:06,400","00:47:09,984","Calling your attention to August of 1968 during the convention,",SCHULTZ
"00:47:12,234","00:47:16,692","To keep Rennie Davis under surveillance with my partner, Detective Bell.",DELUCA
"00:47:21,775","00:47:23,734","the night before the convention began,",SCHULTZ
"00:47:23,817","00:47:26,525",did you observe Tom Hayden committing a crime?,SCHULTZ
"00:47:26,609","00:47:30,900","Yes, Mr. Hayden was letting the air out of the tire of a police vehicle.",DELUCA
"00:47:32,359","00:47:36,734",The park closes at 11:00 p.m. by order of the Chicago PD.,POLICE OFFICER
"00:47:39,609","00:47:42,484",Violators will be prosecuted for trespassing.,POLICE OFFICER
"00:47:43,400","00:47:45,817","I repeat, you must be out of the park.",POLICE OFFICER
"00:48:00,192","00:48:03,359","It's a strategy of throwin' banana peels all over Chicago,",ABBIE
"00:48:13,109","00:48:17,275",We gotta convince 'em of what? That we're crazy enough to do anything.,ABBIE
"00:48:26,192","00:48:27,734",We think it's important,JERRY
"00:48:27,817","00:48:30,734",for confrontational tactical knowledge to be understood.,JERRY
"00:48:30,817","00:48:31,900",You know it!,OFFICER #2
"00:48:38,359","00:48:41,359","You know, and that's fighting fire with what?",JERRY
"00:48:42,567","00:48:45,692","You don't fight fire with fire. You fight it with water, jackass.",TOM
"00:48:45,775","00:48:48,525",- It's a metaphor. - Abbie and his fuckin' banana peels?,TOM
"00:48:48,609","00:48:49,609",Also a metaphor.,RENNIE
"00:48:48,609","00:48:49,609",Also a metaphor.,RENNIE
"00:48:52,067","00:48:56,109","Daley's got 15,000 soldiers whose guns are loaded with bullets that are literal.",TOM
"00:48:56,192","00:48:59,775","- I could argue that the bullets are also-- - Yeah, so could I, but don't.",RENNIE
"00:49:00,400","00:49:03,567",The atmosphere's getting dangerous and someone's gonna throw a rock.,TOM
"00:49:03,650","00:49:06,442",I wanna get the word out we're protesting the war and not the cops.,TOM
"00:49:09,025","00:49:10,192",I think those are my guys.,RENNIE
"00:49:11,109","00:49:12,442",I think that's their car.,TOM
"00:49:14,025","00:49:17,650","Yep, that's them. They're back. They were following me all day.",RENNIE
"00:49:18,609","00:49:21,734","Listen, here's the thing I haven't told you about Sara Beth.",RENNIE
"00:49:21,817","00:49:23,900",- She isn't into this at all. - Isn't into what?,RENNIE
"00:49:23,984","00:49:26,650","When I'm with her and her family, I try to...",RENNIE
"00:49:34,942","00:49:37,650",If I show up tailed by two undercover police officers--,RENNIE
"00:49:37,734","00:49:40,317",- That'll be hard to explain. - This isn't her world.,TOM
"00:49:40,400","00:49:42,817",It's definitely not her parents' world.,RENNIE
"00:49:42,900","00:49:47,025",- If I bring my world into their driveway-- - You could be in a healthier relationship.,TOM
"00:49:47,109","00:49:50,817","I know, but until then, it's the one I got.",RENNIE
"00:49:55,109","00:49:57,275",- Where are they? - Looking for me.,RENNIE
"00:49:58,192","00:50:00,984","All right, go back into the crowd and let 'em find you.",TOM
"00:50:01,609","00:50:04,067",And then leave the park by the east exit.,TOM
"00:50:04,150","00:50:06,942",- They'll need their car to follow you. - What are you gonna do?,TOM
"00:50:07,025","00:50:10,525","It won't remind anyone of Gandhi, but a little civil disobedience. Go.",TOM
"00:50:14,067","00:50:17,359",I appreciate it. I don't wanna be a phony with Sara--,RENNIE
"00:50:17,442","00:50:20,317",- You're welcome. You should really go now. - Yep.,TOM
"00:50:22,192","00:50:26,067","Detective Bell and I spotted Rennie Davis walking in the crowd,",DELUCA
"00:50:30,150","00:50:31,900",- Your car? - Yes.,SCHULTZ
"00:50:31,984","00:50:33,067",What did you find?,SCHULTZ
"00:50:36,025","00:50:38,442",- Don't fuckin' move. - On your feet.,DELUCA
"00:50:38,525","00:50:40,692",Those are two contradictory instructions--,TOM
"00:50:46,442","00:50:49,692",- Was that a contradictory instruction? - No.,DELUCA
"00:50:52,275","00:50:55,942","- They're hassling Tom Hayden! - Paulie, you need to see what I'm seeing.",BELL
"00:51:08,609","00:51:10,775",Did he tell the crowd to back down?,SCHULTZ
"00:51:08,609","00:51:10,775",Did he tell the crowd to back down?,RENNIE
"00:51:10,859","00:51:13,650",Everybody get back. I'm all right. Stay cool.,TOM
"00:51:13,734","00:51:15,067",He was egging them on.,DELUCA
"00:51:15,150","00:51:17,525",Did you take Mr. Hayden under arrest at that moment?,SCHULTZ
"00:51:19,859","00:51:22,984","- Who's shinin' that? - Paulie, it's a camera. It's a TV camera.",BELL
"00:51:25,984","00:51:29,234",so we arranged to take Mr. Hayden in the next morning.,DELUCA
"00:51:32,234","00:51:33,442",This is gonna be for me.,TOM
"00:51:33,525","00:51:35,150",Let me try to explain to them.,RENNIE
"00:51:35,234","00:51:37,192",Tell 'em about Sara Beth's parents.,TOM
"00:51:38,817","00:51:41,192",Just bail me out and keep to the schedule. It's fine.,TOM
"00:51:43,025","00:51:44,775",- See you in a bit. - You're under arrest.,OFFICER QUINN
"00:51:43,025","00:51:44,775",- See you in a bit. - You're under arrest.,POLICEMAN
"00:51:47,150","00:51:50,317","We'll stand in recess for one hour, and court will resume at 1:30--",JUDGE HOFFMAN
"00:51:53,234","00:51:56,192","You wish to address the court, Mr. Seale?",JUDGE HOFFMAN
"00:51:56,275","00:51:59,817","- Yes. I have a motion-- - I will hear you, Mr. Seale.",JUDGE HOFFMAN
"00:52:01,859","00:52:02,859",Just a moment.,BOBBY
"00:52:03,234","00:52:05,484","Mr. Seale, do you have a motion?",JUDGE HOFFMAN
"00:52:09,400","00:52:12,817","""I'd like to invoke the precedent of Adams vs. US ex rel. McCann,",BOBBY
"00:52:17,525","00:52:20,942",Does your young friend Mr. Hampton have a background in law?,JUDGE HOFFMAN
"00:52:56,275","00:52:58,067","No, he doesn't!",STAHL
"00:53:26,109","00:53:30,025","So, Hayden's in a holding cell on a tire pressure-related charge,",ABBIE
"00:53:41,192","00:53:42,984","and free Tom Hayden!""",KUNSTLER
"00:53:44,317","00:53:46,025",We couldn't find our way out of the park.,ABBIE
"00:53:48,275","00:53:53,317","Now, over the course of ten days, the government called 37 witnesses,",ABBIE
"00:53:57,734","00:54:01,359","I call this portion of the trial ""with friends like these.""",ABBIE
"00:54:01,442","00:54:03,525","Rennie, this is Sam. He can be trusted.",MAN
"00:54:04,192","00:54:06,692","Detective Sam McGiven, Chicago Police Department.",SAM
"00:54:06,775","00:54:08,400","- Abbie, this is Stan. - Oh, hey.",EDDIE
"00:54:08,484","00:54:10,400","- Stan Wojohowski. - How you doin', Stan?",ABBIE
"00:54:10,484","00:54:13,692",- What is your occupation? - I'm a Chicago police officer.,WOJOHOWSKI
"00:54:15,067","00:54:18,025","I'm your guy for ass, weed or whatever you need.",SCOTT
"00:54:18,109","00:54:21,109","Staff Sergeant Scott Scibelli, Illinois State Police.",SCOTT
"00:54:27,150","00:54:29,067",It's from the woman in the glasses.,BARTENDER
"00:54:43,900","00:54:46,192","Hey, uh, did you mean this for me?",JERRY
"00:54:46,275","00:54:48,609",- I did. - Nobody's ever sent me a drink before.,JERRY
"00:54:51,317","00:54:54,192","I know it's a country club drink, but they're delicious.",JERRY
"00:54:54,275","00:54:58,984","A man in England named Tom Collins claimed in 1894 to have invented it,",JERRY
"00:54:59,067","00:55:01,900","but then another man, whose name I've forgotten, said no,",JERRY
"00:55:01,984","00:55:05,692","he'd invented it two years earlier, and I think there was a lawsuit.",JERRY
"00:55:05,775","00:55:08,734",That's a surprising amount of controversy for gin and lemonade.,DAPHNE
"00:55:11,400","00:55:15,525","Jerry, do you know why the French only eat one egg for breakfast?",DAPHNE
"00:55:15,609","00:55:17,567","- No. - Because in France,",DAPHNE
"00:55:17,650","00:55:20,275",one egg... is un oeuf.,DAPHNE
"00:55:22,400","00:55:23,650",It's un oeuf.,DAPHNE
"00:55:27,025","00:55:29,442",I feel so much better about my Tom Collins story.,JERRY
"00:55:31,150","00:55:32,192",I'm Daphne O'Connor.,DAPHNE
"00:55:32,275","00:55:35,942","Special Agent Daphne O'Connor, FBI Counterintelligence.",DAPHNE
"00:55:37,275","00:55:40,900",Think it's possible there were seven demonstrators in Chicago last summer,WEINER
"00:55:43,692","00:55:45,150",What was your assignment in Chicago?,SCHULTZ
"00:55:45,234","00:55:48,442",To use Jerry Rubin to infiltrate the leaders of the protest.,DAPHNE
"00:55:48,525","00:55:52,275","And you were with Jerry Rubin, Abbie Hoffman, Dave Dellinger",SCHULTZ
"00:55:56,442","00:55:59,775",- What were they doing together? - They were leading a group of protesters.,DAPHNE
"00:55:59,859","00:56:01,817","- How many, would you say? - About 800.",SCHULTZ
"00:56:01,900","00:56:03,692",Where were they leading these 800 people?,SCHULTZ
"00:56:03,775","00:56:06,692",- To police headquarters at 11th and State. - Why?,DAPHNE
"00:56:06,775","00:56:10,692",Tom Hayden was being held there on charges of tampering with a police vehicle.,DAPHNE
"00:56:14,109","00:56:16,025","And by ""pigs,"" he meant...",SCHULTZ
"00:56:16,109","00:56:18,317",It was time to confront the police.,DAPHNE
"00:56:23,609","00:56:25,484","Marshals, we're on the move.",KUNSTLER
"00:56:29,317","00:56:33,109",I remember also at the front of the group was Mr. Allen Ginsberg.,SAM
"00:56:33,192","00:56:34,817","Allen Ginsberg, the poet?",SCHULTZ
"00:56:34,900","00:56:37,692","Yes, he was chanting a kind of war chant.",SAM
"00:56:37,775","00:56:40,984",- Om. - What's he doing?,JERRY
"00:56:41,067","00:56:43,150",He's channeling the energy. Settling things down.,ABBIE
"00:56:43,234","00:56:44,609",And how's that workin' so far?,DAVE
"00:56:51,734","00:56:56,484","The guy testified that Ginsberg was letting out a war chant,",ABBIE
"00:57:00,525","00:57:04,275",that they should begin pelting the troops with blank verse.,ABBIE
"00:57:06,400","00:57:09,859","So, a guy in the crowd is marching with a girl on his shoulders.",ABBIE
"00:57:09,942","00:57:12,400","She's waving an American flag,",ABBIE
"00:57:12,484","00:57:16,109",and this seems to really be bothering some frat brothers,ABBIE
"00:57:16,192","00:57:18,900",who'd come to town in the spirit of fraternity.,ABBIE
"00:57:29,650","00:57:31,859",I'm gonna go back there and take care of that.,JERRY
"00:57:31,942","00:57:33,234",They are not the enemy.,ABBIE
"00:57:33,317","00:57:35,067","In so many fuckin' ways, they are.",JERRY
"00:57:45,692","00:57:47,900",The group turned left on 11th Street.,WOJOHOWSKI
"00:57:47,984","00:57:49,900",We make a left on 11th Street.,ABBIE
"00:57:49,984","00:57:51,067",That's when they saw it.,DAPHNE
"00:57:49,984","00:57:51,067",That's when they saw it.,KUNSTLER
"00:58:01,025","00:58:02,484",Holy shit!,ABBIE
"00:58:06,942","00:58:08,650",Are they about to conquer Spain?,ABBIE
"00:58:10,817","00:58:13,609",Free Tom Hayden!,TOM
"00:58:10,817","00:58:13,609",Free Tom Hayden!,OFFICER QUINN
"00:58:13,692","00:58:14,692",Fuck it.,JERRY
"00:58:19,025","00:58:21,859",- We're not rushing the police. - Why the fuck not?,ABBIE
"00:58:21,942","00:58:25,109",- We'll be critically injured. - Tom doesn't want anyone hurt.,RENNIE
"00:58:25,192","00:58:27,359",Turn this crowd around. There's too much momentum.,DAVE
"00:58:30,234","00:58:33,400",He's right. This is not safe. I know something about this. Come on.,DAPHNE
"00:58:35,525","00:58:37,984",Looks like the Alamo back here. Turn 'em around.,DAVE
"00:58:38,067","00:58:40,859",- Bring 'em safely to the park. - We should be marching up to them.,JERRY
"00:58:40,942","00:58:42,984","I don't think they'll surrender, man.",ABBIE
"00:58:43,567","00:58:47,275",Keep 'em movin'. Dave and I are gonna stay and make Tom's bail.,ABBIE
"00:58:49,650","00:58:51,525","I don't carry money, do you?",ABBIE
"00:58:52,192","00:58:54,484",I do. I'm a grown man.,DAVE
"00:58:54,567","00:58:55,900",Om.,CLARK
"00:58:54,567","00:58:55,900",Om.,TOM
"00:58:55,984","00:58:58,400","You're killin' me, Allen. You're goddamn killing me!",JERRY
"00:58:58,484","00:59:00,984",The marshals are spreading word that we gotta keep moving.,ABBIE
"00:59:05,067","00:59:07,984",three divisions of police officers had moved in from the south.,DAPHNE
"00:59:27,692","00:59:31,025","I don't know what tactical genius came up with that,",ABBIE
"00:59:31,109","00:59:32,775",but you know when shit happens?,ABBIE
"00:59:32,859","00:59:35,984",When you don't give protesters a place to go.,ABBIE
"00:59:36,067","00:59:38,359",How would you characterize the mood of the crowd?,SCHULTZ
"00:59:38,442","00:59:42,734","The witness is in no position to characterize the mood of 1,000 strangers.",KUNSTLER
"00:59:42,817","00:59:44,192",Do you have an objection?,JUDGE HOFFMAN
"00:59:46,234","00:59:47,234",On those grounds.,JUDGE HOFFMAN
"00:59:46,234","00:59:47,234",On those grounds.,KUNSTLER
"00:59:47,817","00:59:49,234",Overruled.,ALL
"00:59:49,317","00:59:51,275",I will clear this courtroom.,JUDGE HOFFMAN
"00:59:53,900","00:59:55,317",The crowd was looking for a fight.,WOJOHOWSKI
"00:59:55,400","00:59:58,484",You're pigs! Your children are pigs!,JERRY
"00:59:58,567","01:00:00,775","No, we should leave their children out of it.",RENNIE
"01:00:00,859","01:00:02,275",You're right. I know.,JERRY
"01:00:02,359","01:00:04,900","""White honky MFers, get out of our park.""",SCOTT
"01:00:06,442","01:00:07,859",They don't look so tough.,JERRY
"01:00:08,525","01:00:10,442","Well, the guns...",RENNIE
"01:00:10,525","01:00:12,775",There are no permits for this demonstration.,POLICEMAN
"01:00:10,525","01:00:12,775",There are no permits for this demonstration.,POLICEMAN
"01:00:12,859","01:00:14,817","You're ordered to leave the park, immediately!",POLICEMAN
"01:00:12,859","01:00:14,817","You're ordered to leave the park, immediately!",POLICEMAN
"01:00:14,900","01:00:17,317","Put down your guns, motherfuckers!",JERRY
"01:00:19,025","01:00:21,609","Just so you know, I do not have your back on that.",RENNIE
"01:00:21,692","01:00:26,234","And the guys from Kappa Gamma Douchebag, who were hassling the girl?",ABBIE
"01:00:26,317","01:00:28,025",They're back.,KUNSTLER
"01:00:34,942","01:00:37,400","Help me calm 'em down, Jerry!",RENNIE
"01:00:37,484","01:00:40,234","Baby, defuse the situation. They will listen to you.",DAPHNE
"01:00:42,067","01:00:44,317","Nothing, that sounded nice when you said it.",JERRY
"01:00:44,400","01:00:45,567",- Right now! - Yeah.,DAPHNE
"01:00:50,942","01:00:52,109",Take the hill!,SONDRA
"01:00:50,942","01:00:52,109",Take the hill!,SOMEONE IN THE CROWD
"01:00:56,359","01:00:59,609",The street name for chloroacetophenone is tear gas.,ABBIE
"01:01:01,609","01:01:04,192",And it's a fuckin' blowtorch.,ABBIE
